item_id,user_id,parent_item_id,parent_user_id,post_type,content,lang,created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,favorite_count,community
tw1890187762336428516,tw4694393503,tw1889804566281200046,tw3315017925,retweet,"A positive unintended consequence of peace in Ukraine is that Germany can resume buying cheap natural gas from Russia.

This means they can stop pressuring a certain West African country to build the world's dumbest gas pipeline to supply them, while it itself has no electricity.",en,2025-02-13T23:54:15+00:00,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,C7
tw1890186347425722503,tw67462821,tw1890068667116707920,tw132339474,retweet,"Remember when Trump promised you that he’d “slash prices” for Eggs and Gas “on Day One”?

Welp, its day 25, and both Eggs and Gas prices are UP, not Down.

Electricity is also up.
Natural Gas is also up.

Just another lie, like the condom lie. https://t.co/65aU04a5NL",en,2025-02-13T23:48:37+00:00,273.0,0.0,0.0,0.0,0.0,0.0,0.0,C1
tw1890183210992320870,tw1208514896570114049,tw1890173009882935372,tw125775260,retweet,"Putin will want sanctions relief on finance, where Trump may deal, but mostly on hydrocarbons, where he won’t. POTUS is committed to maintaining high enough oil prices to incentivize investment in US fields, and to keeping Russian gas out of Europe, in order to sell US LNG.

/13",en,2025-02-13T23:36:10+00:00,72.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889861479903506479,tw43463961,tw1889857817722626518,tw1836240683268759552,quote,"Trump's plan to re-industrialize America:
Bring back traditional industries like auto & steel by tariffs on ROW
Force TW/SK to transfer tech to bring back leading edge tech & fabs
Threaten Allies into using American AI models
Force EU to keep buying US LNG -> control EU + keep wide gap in energy cost -> absorb European industries.
Will piss off other countries, but this is American 1st

If you wonder why he needs to do this, then consider what is American share of global mfg & compare that to China. If you can't win much mfg from China (not much auto/steel/chips import from China), then you have to pressure allies.

We are no longer living in Unipolar moment & this might be what America has to do to achieve ""self sufficiency""",en,2025-02-13T02:17:43+00:00,70.0,51.0,398.0,6.0,122.0,39339.0,398.0,C3
tw1890179796107395538,tw1876821854305878016,,,post,Freedom to cook: New CPSC chief shuts down Biden-era threat to restrict natural gas stoves. #ConsumerChoice https://t.co/VtDVGTwzGF,en,2025-02-13T23:22:35+00:00,0.0,0.0,0.0,0.0,0.0,18.0,0.0,C2
tw1890175779369365826,tw2457018674,,,post,Cold weather and increased inventory draws paint a bullish picture of natural gas. Bob Iaccino examines the four-day rally in Natural Gas futures.,en,2025-02-13T23:06:38+00:00,0.0,0.0,1.0,0.0,1.0,6762.0,1.0,C2
tw1889958391826567456,tw54313278,,,post,"Wow. I'm living in -25 degree temperatures here in Xinjiang, quite a poor region too, yet every home is heated extremely well, and it's super cheap! My heating bill averages out to $32 per month!!!! 

Why? Because Xinjiang has a BUNCH of natural gas from the Tarim Basin making cost per production really cheap. Now you can see why many countries might be interested in Xinjiang..",en,2025-02-13T08:42:48+00:00,38.0,9.0,317.0,1.0,19.0,8963.0,317.0,C3
tw1890142567393804703,tw3484575387,,,post,"Russian Foreign Ministry: Russia has LNG export routes that bypass EU ports #EconomicalWar #EU #Russia

https://t.co/llVOJNQqWn",en,2025-02-13T20:54:39+00:00,4.0,0.0,6.0,0.0,0.0,78.0,6.0,C3
tw1890018480784818222,tw1122752432,,,post,"Marvel Swallow arriving Isle of Grain 12/2/25 with 170,658m3 of LNG from the Cameron LNG Terminal, USA.
Built Korea 2024
115,625GT
IMO 9963449 https://t.co/y8JKmZFb49",en,2025-02-13T12:41:35+00:00,2.0,1.0,28.0,0.0,1.0,522.0,28.0,C21
tw1890100730440142922,tw91156289,,,post,"Golar Sells LNGC Golar Arctic, Exits LNG Shipping Sector https://t.co/P2sCul4Pqe",en,2025-02-13T18:08:25+00:00,4.0,0.0,1.0,0.0,0.0,347.0,1.0,C5
