user_id,polarity,vec_BIG_OIL,vec_CHINA,vec_EU_UKRAINE,vec_ISRAEL,vec_LNG,vec_RENEWABLES,vec_RUSSIA,vec_SANCTIONS_TARIFFS,vec_US_POLICY
tw4694393503,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1252168455354298369,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw67462821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw1482350049787006987,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1873168980422344704,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1208514896570114049,-0.47090765453157357,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.0
tw910866077126742016,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1728970401114636288,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1693050524,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1358448365030289411,0.37649157381908854,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.5
tw43463961,0.43970859545833585,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333
tw1876821854305878016,0.9999999995186878,0.2,0.0,0.0,0.0,0.6,-0.6,0.0,0.0,0.8
tw1351560482,0.20610619751024603,0.25,-0.25,0.0,0.0,0.25,0.0,0.0,-0.25,-0.25
tw181115403,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1511665221886173191,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1219232459369435138,-0.5272321240388236,0.0,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.0
tw1385684134937440261,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw2457018674,0.9999999930456711,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
tw526082673,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1628843927649370113,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw2752421026,-0.19231193788466958,0.0,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.5
tw166957487,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw467784317,0.5638444080867363,0.0,0.0,0.4,0.0,0.0,0.0,-0.2,0.2,-0.2
tw54313278,0.506789897343344,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tw1402153772722266117,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1795063864259661825,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw855402355621277696,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1562549251204214784,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1380082240739246080,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw309419484,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1542394335261609984,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw975287029855588354,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1604926442256605200,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw2671261221,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1340118939557355521,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw196812538,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1481614752476545027,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1124044758,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1749442199610171392,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw829958105182109696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw1482526161599143942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw3125797167,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1514113627,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1359634293329448966,-0.7710040922100416,0.0,0.5,-0.5,0.0,-0.5,-0.5,0.5,-1.0,-0.5
tw3484575387,0.059463349886670507,0.0,0.0,-0.5,0.0,0.5,0.0,0.0,0.0,0.0
tw1196750512638636033,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw217745276,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw14954039,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1974530989,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw34062100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw115648763,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw290197802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw1434242015844315139,-0.6297075612484917,-0.5,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.0
tw1492338008544141315,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw274260142,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1496622895577112576,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw796433174939123712,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1599323240115101696,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw2694913415,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw734871337,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw772973759988891648,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw3580480223,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw870369466919636993,0.010690608105915086,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
tw33827440,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw3289503244,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw786647020438192128,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1122752432,0.9999999994915922,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
tw91156289,0.9999999991565738,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,-0.05555555555555555,0.0,0.0,0.16666666666666666
tw2883492447,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw374226166,0.9999999976818903,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
tw939883338,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1926649406,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw926386820463648774,-0.7710040922100416,0.0,0.5,-0.5,0.0,-0.5,-0.5,0.5,-1.0,-0.5
tw1156953311150583811,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw862444393411817477,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1684168488309469187,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw823710637,-0.9999999994809161,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.5,-1.0
tw1792931643239378944,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw566635189,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw734548882718396416,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1243692475975417858,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw3580242023,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw77986283,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1820463576340983809,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw730873375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tw1363366230325927936,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw258794651,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw305366693,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw463187483,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw784913174168567808,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1117800285932593153,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1356261165597401088,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1497178571806154758,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1683547132957949957,0.9999999994587645,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.5,0.5
tw1540410510990102531,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw854958877,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw909714688237334528,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw15301503,0.32674792747702586,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,-0.5,-0.16666666666666666,-0.16666666666666666
tw1526821158414336000,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1489736544067985412,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw214496164,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1481541849617682432,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1419675277207220224,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw514888959,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1494402338,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw582625323,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1601305372442218496,-0.7710040922100416,0.0,0.5,-0.5,0.0,-0.5,-0.5,0.5,-1.0,-0.5
tw2906259655,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1542187379859111936,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1787209598862016512,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw216517158,-0.530354869193991,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-1.0
tw259172647,-0.5272321240388236,0.0,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.0
tw734075802128523265,-0.6340864080359918,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.6666666666666666
tw1245569317,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw2727551488,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1357316164037140481,-0.22474705390822425,0.0,-0.25,-0.25,0.0,0.0,-0.25,0.5,0.0,0.0
tw1300789275076816901,-0.9999999989950353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
tw1109743123331194880,-0.5272321240388236,0.0,0.0,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.0
tw1080738301504565248,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw1330056130031214594,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw176054457,-0.5272321241876583,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0
tw455015681,-0.07120552720210871,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5
